2025/04/21 02:10:20,Othello Thinker V1.00(Min-Max Based),Othello Thinker V3.08(Alpha Go Based)(250420),1,0,46,18,"XXXXXXXX
XXXXXXXO
XXXOOXOX
XOXXOOXX
XOXXXOXX
XOOOXXOX
XOOOOOXX
XXXXXXXX"
2025/04/21 02:10:56,Othello Thinker V3.08(Alpha Go Based)(250420),Othello Thinker V1.00(Min-Max Based),1,0,34,30,"XXXXXXXO
XXXOXXXO
XXOOOOOO
XXOXOOOO
XOXOXOXX
XXOOOOXX
XOXXXXXX
OOOOOOOO"
2025/04/21 02:11:29,Othello Thinker V1.00(Min-Max Based),Othello Thinker V3.08(Alpha Go Based)(250420),1,0,37,27,"OXXXXXXX
OXXXXXXX
OXXOOOXX
OXOXOXXX
OOXOXXXX
OOXOOXXX
OOOXXOXX
OOOOOOOX"
2025/04/21 02:12:03,Othello Thinker V3.08(Alpha Go Based)(250420),Othello Thinker V1.00(Min-Max Based),0,1,8,56,"OOOOOXXO
OOOOOOOO
OOOOXOOO
OOOXOOXO
OOXOOOOO
OOOOOOOO
XOOOOOXO
OOOOOOOO"
2025/04/21 02:12:39,Othello Thinker V1.00(Min-Max Based),Othello Thinker V3.08(Alpha Go Based)(250420),1,0,58,6,"XXXXXXXX
XXXOOXXX
XXXXXXXX
XOXXXXXX
XXOXXXXX
XXXOOXXX
XXXXXXXX
XXXXXXXX"
2025/04/21 02:13:14,Othello Thinker V3.08(Alpha Go Based)(250420),Othello Thinker V1.00(Min-Max Based),0,1,18,46,"OOOOOOOO
OOXXOXXO
OOXOXOXO
OOOXOXOO
OOXOXOOO
OXOOOXOO
OXXXXOOO
OOOOOOOX"
2025/04/21 02:13:48,Othello Thinker V1.00(Min-Max Based),Othello Thinker V3.08(Alpha Go Based)(250420),1,0,35,29,"XXXXXXOX
XXXXXOOX
XOOOOOOX
XXOOOXOX
XXXOOXOX
XXOOOOOX
XOXXXXXX
OOOOOOOX"
2025/04/21 02:14:20,Othello Thinker V3.08(Alpha Go Based)(250420),Othello Thinker V1.00(Min-Max Based),1,0,34,30,"OXXOOOOX
OOOOOOOX
OOOXOOXX
OOXOXXXX
OOOXOOXX
OOXOXXXX
OXOXXXXX
XXXXXXXX"
2025/04/21 02:14:56,Othello Thinker V1.00(Min-Max Based),Othello Thinker V3.08(Alpha Go Based)(250420),1,0,57,7,"XXXXXXXX
XXXXXXXX
XXXOOXXX
XOOXXXXX
XXXXXXXX
XXXOOXXX
XXXXXOXX
XXXXXXXX"
2025/04/21 02:15:30,Othello Thinker V3.08(Alpha Go Based)(250420),Othello Thinker V1.00(Min-Max Based),1,0,36,28,"XXXXXXXO
XXXOXXOO
XXXXXXOO
XOXXXOOO
XOXXXOXX
XOXOOOXX
OOOOOXXX
XOOOOOOO"
2025/04/21 02:16:04,Othello Thinker V1.00(Min-Max Based),Othello Thinker V3.08(Alpha Go Based)(250420),1,0,37,27,"XOOOOOOO
XXXXXXXO
XXXXOOXO
XXXXOOXO
XXXXOXXO
XXOXXXOO
XOXOOXXX
OOOOOXXX"
2025/04/21 02:16:39,Othello Thinker V3.08(Alpha Go Based)(250420),Othello Thinker V1.00(Min-Max Based),1,0,34,30,"XXXXXXXO
XXXOXXXO
XXOOOOOO
XXOXOOOO
XOXOXOXX
XXOOOOXX
XOXXXXXX
OOOOOOOO"
2025/04/21 02:17:15,Othello Thinker V1.00(Min-Max Based),Othello Thinker V3.08(Alpha Go Based)(250420),1,0,43,21,"XXXXXXXX
XXOXXXXX
XOXOOXXX
XOOOXXOX
XOOXOOOX
XOXXOOOX
XXOOXOOX
XXXXXXXX"
2025/04/21 02:17:49,Othello Thinker V3.08(Alpha Go Based)(250420),Othello Thinker V1.00(Min-Max Based),0,1,14,50,"OOOOOOOX
XXXOXOXO
OXOXOXOO
OXXOOOOO
OXOOOOOO
OXOOOXOO
OOOOOOOO
OOOOOOOO"
2025/04/21 02:18:24,Othello Thinker V1.00(Min-Max Based),Othello Thinker V3.08(Alpha Go Based)(250420),1,0,35,29,"OOOOOOOX
OOOXXOXX
OXOOOXOX
OOXOXOXX
OXOXXXOX
OOXOXOOX
OXXXXXXX
XXXXXXXX"
2025/04/21 02:18:59,Othello Thinker V3.08(Alpha Go Based)(250420),Othello Thinker V1.00(Min-Max Based),1,0,34,30,"XXXXXXXO
XXXOXXXO
XXOOOOOO
XXOXOOOO
XOXOXOXX
XXOOOOXX
XOXXXXXX
OOOOOOOO"
2025/04/21 02:19:33,Othello Thinker V1.00(Min-Max Based),Othello Thinker V3.08(Alpha Go Based)(250420),1,0,47,17,"XXXXXXXX
XOOOOOXX
XOXOXXOX
XOOXXXOX
XOXXXXOX
XOXXXOXX
XXXXXXOX
XXXXXXXO"
2025/04/21 02:20:08,Othello Thinker V3.08(Alpha Go Based)(250420),Othello Thinker V1.00(Min-Max Based),1,0,34,30,"XXXXXXXO
XXXOXXXO
XXOOOOOO
XXOXOOOO
XOXOXOXX
XXOOOOXX
XOXXXXXX
OOOOOOOO"
2025/04/21 02:20:41,Othello Thinker V1.00(Min-Max Based),Othello Thinker V3.08(Alpha Go Based)(250420),1,0,34,30,"XOOOOOOO
XOOXOXOX
XOOOXOXX
XOOXOXXX
XOXOXXXX
XOOOOOXX
XOOOXXXX
OOXXXXXX"
2025/04/21 02:21:16,Othello Thinker V3.08(Alpha Go Based)(250420),Othello Thinker V1.00(Min-Max Based),1,0,34,30,"XXXXXXXO
XXXOXXXO
XXOOOOOO
XXOXOOOO
XOXOXOXX
XXOOOOXX
XOXXXXXX
OOOOOOOO"
2025/04/21 02:21:51,Othello Thinker V1.00(Min-Max Based),Othello Thinker V3.08(Alpha Go Based)(250420),0,1,27,37,"OOOOOOOO
OXXXXOOO
OXOXOOOO
XXXOXXOO
XXOXOXOO
XXXXOOOO
XXXXOOOO
XXXXOOOO"
2025/04/21 02:22:29,Othello Thinker V3.08(Alpha Go Based)(250420),Othello Thinker V1.00(Min-Max Based),0,1,22,42,"OOOOOOOO
OOOXXOOO
OOOOXXXO
OOXOOOXO
OXOOOXXO
XXXXXXXO
XXOXXXOO
OOOOOOOO"
